"Name","Day","WaterTemp","pH","DO","C","Turb","SolarR","SoilTemp","InstanF","CumF_daily","TN","TP","NitrateN","COD","AmmoniaN"
"10",2022-04-01,16.1,3.59,7.52,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2022-04-02,16.05,3.59,7.5175,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2022-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2023-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2023-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2023-07-06,24.1,4.25,6.405,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2023-07-07,25.7666666666667,5.42666666666667,6.35333333333333,11.9,6.4,NA,NA,NA,NA,2.01,0.3935,NA,25.8,1.109
"10",2023-07-08,24.5,7.54714285714286,6.49571428571429,44.8285714285714,5.87142857142857,NA,NA,NA,NA,1.47333333333333,0.346,NA,24.2428571428571,0.969142857142857
"10",2023-07-09,23.4428571428571,7.50571428571429,6.42714285714286,44.7142857142857,4.71428571428571,NA,NA,NA,NA,1.06285714285714,0.376428571428571,NA,19.6285714285714,0.402428571428571
"10",2023-07-10,24.1285714285714,7.57428571428571,6.34571428571429,34.3428571428571,6.04285714285714,NA,NA,NA,NA,0.7,0.404714285714286,NA,17.8428571428571,0.152714285714286
"10",2023-07-11,23.4714285714286,7.57428571428571,6.35,31.8428571428571,7.68571428571429,NA,NA,NA,NA,0.652857142857143,0.396714285714286,NA,19.3,0.113857142857143
"10",2023-07-12,22.3428571428571,7.50142857142857,6.44,31.7857142857143,9.92857142857143,NA,NA,NA,NA,0.86,0.507,NA,22.1285714285714,0.144857142857143
"10",2023-07-13,22.3333333333333,7.52,6.81666666666667,364.3,34.5333333333333,NA,NA,0.00133333333333333,6679.8,0.808333333333333,0.416166666666667,NA,16.6666666666667,0.186
"10",2023-07-14,24.55,7.70666666666667,6.54166666666667,337.65,99.9333333333333,NA,NA,0.112333333333333,2347.86,0.686666666666667,0.3215,NA,15.4833333333333,0.134666666666667
"10",2023-07-15,24.1666666666667,7.64833333333333,6.43833333333333,341.916666666667,99.9666666666667,NA,NA,0.017,2353.5,1.81333333333333,0.373666666666667,NA,18.6166666666667,0.226
"10",2023-07-16,23.4166666666667,7.33,6.01833333333333,392.983333333333,90.52,NA,NA,0.00866666666666667,3137.16,3.65166666666667,0.397,NA,24.2333333333333,0.414833333333333
"10",2023-07-17,24.0666666666667,7.425,6.22833333333333,398.35,29.6,NA,NA,0.0285,2254.86,3.02333333333333,0.4215,NA,23.4166666666667,0.678166666666667
"10",2023-07-18,25.34,7.536,6.578,432.84,22.625,NA,NA,0.00866666666666667,505.920000000002,2.692,0.5204,NA,23,1.0368
"10",2023-07-19,25.85,7.665,6.705,452.35,43.6,NA,NA,0.163333333333333,-6094.2,1.935,0.599,NA,30.7,0.114
